,place,1(Быстрая черепашка),2(Вопрос о фигуре),3(Послание ),4(Построй дом!),5(Звездочный квадрат),Score,Penalty,department,hash
480,481,+,+,+,+,+,5,87840,Биологический факультет,4568a7c70945a01ceabed46957495c0860b1e530
481,482,+,+,+,+,+,5,87897,Не из МГУ,c54e7611fb791853ab822e44fd6dd8b99a163f77
482,483,+,+,+,+4,+1,5,87968,Факультет вычислительной математики и кибернетики,6ef9205504ff71213ec47c8bca23b0917745372e
483,484,+1,+,+,+,+3,5,88094,Факультет вычислительной математики и кибернетики,f2d22d6c6b5d82bf6f0c6f341d47d65dd6daa7c4
484,485,+,+,+,+,+,5,88190,Физический факультет,255b2a7d6afacbe25a5b71c9f65d5a53b4a7ed84
485,486,+,+1,+,+,+,5,89313,Биологический факультет,a8987a12beb057234125c368ad1e277c36b13d6e
486,487,+,+,+,+,+,5,89933,Факультет вычислительной математики и кибернетики,22c915218a7dce80ab54c38d97dcd645065c57e6
487,488,+,+1,+1,+1,+,5,91067,Экономический факультет,23717ca70cee7805ff947a85e62e0226f64736c4
488,489,+,+,+,+1,+,5,91160,Факультет вычислительной математики и кибернетики,dcf03d4c771834a8a6c67b1c70389b7dc04ac3e4
489,490,+,+,+,+1,+,5,91669,,cc699e58940a04cd0201a866e2215f186a16fbdf
490,491,+,+,+1,+,+1,5,91790,Физический факультет,bedb76d5594b74d5d948f54f5b75535e39e0d81a
491,492,+,+,+,+,+,5,92265,Экономический факультет,8a2c4cf354d12a0e86114cb77656d816c7512291
492,493,+,+,+1,+,+,5,92558,Факультет почвоведения,3896f70f55420c6b94fc7d34fe39661f40a8ef23
493,494,+,+,+,+,+,5,92879,Геологический факультет,b8e4d4e35895afb25845bbc2ba996754f9881d47
494,495,+,+,+,+2,+4,5,93036,Факультет космических исследований,28d21fe62ac5494bb481e23b7ae14010d03a5617
495,496,+1,+,+,+,+,5,93477,,f3de6f8c7dccd0ffb6a36f4d16669edb4dc10462
496,497,+1,+,+,+,+,5,93514,Экономический факультет,1c95c55982fedd73cc208dc1cb59688f7dfac9b2
497,498,+,+,+,+,+,5,94147,Биологический факультет,e3e4b1fe2828c605e78f7071f13d0df53d973fd0
498,499,+,+,+4,+,+1,5,94518,Биологический факультет,ed4b9705a423407e7930cf6f237a93f8d136aa00
499,500,+,+2,+,+2,+1,5,95065,,6bf6a50b6db09c03973cdc54ab91fbc9cf8efd97
500,501,+,+,+1,+3,+,5,95246,Экономический факультет,6697e31836b81eedcbecfd49f975c6c203df4a24
501,502,+1,+,+1,+,+6,5,95252,Биологический факультет,82d5129a3a941d04366dee12eb284b8a218130f3
502,503,+,+,+,+1,+,5,95369,Химический факультет,2669e602dcc2de06461bd443b0fb874d56269e8a
503,504,+,+,+,+,+,5,95875,,ddf8273962999bef4c1f7d8d229cbb4c4a22544f
504,505,+,+1,+,+1,+,5,96673,,ae74e66cb27f3b3754a9cc443098efdc5eaca8ac
505,506,+2,+,+,+1,+8,5,97730,Филологический факультет,aa83623d97a67d210809353050e14f505a43d2b8
506,507,+,+,+,+2,+,5,98496,Факультет глобальных процессов,470a9f9a86fa9f6ccade79b4d0a016384c7f3bce
507,508,+,+,+1,+,+2,5,99753,Геологический факультет,4e215f08e0b7b40c3a945468a1b546b99513fcf3
508,509,+,+,+,+,+,5,99888,Не из МГУ,7f8d31bc792e39a168aa5c024e85086f9086a239
509,510,+1,+,+,+1,+,5,100191,Биологический факультет,b38578560119db1c5d77f11ce5f4d10ed9a735f3
510,511,+,+,+,+,+,5,100645,Не из МГУ,1cd9ef7cc21c629aa33a6781a8bb160f670df205
511,512,+,+,+1,+6,+,5,100771,,3cce2f4d50f1ed9d84dda26ae52cf62ba7ddc0c0
512,513,+,+1,+,+2,+,5,101070,Экономический факультет,b7e573ba3cfb0c257ac1b92111625b316ab7ade1
513,514,+,+,+,+1,+,5,101140,Географический факультет,e191c77919073e76041214264ead272ae452fb2a
514,515,+,+,+1,+,+8,5,101406,Геологический факультет,1774161caeb9f763bef956f892fad8da3032ce80
515,516,+1,+,+,+2,+6,5,101723,Биологический факультет,3126e498c9ff65b3aa8efaa12c39ef5c272c507f
516,517,+,+,+,+,+,5,101821,Факультет вычислительной математики и кибернетики,7761641dd5715853632afe592b5a177789fe81fc
517,518,+,+,+,+1,+,5,102046,Механико-математический факультет,a3fb832e4306441e8ca28508df8f5ac60e2aa924
518,519,+,+,+,+1,+,5,102366,Факультет вычислительной математики и кибернетики,8d2acbe176cbd4f5eafc6d6e5a70f3cf3cf80298
519,520,+,+,+1,+,+,5,102962,Физический факультет,7fc922feb733aaacfb282ed6a867da072f0fb4ab
520,521,+,+,+1,+1,+,5,103747,Юридический факультет,9dd385aaa356b018322e8692796ef36650df8d2c
521,522,+,+,+4,+,+,5,104587,Экономический факультет,5369c1e8a8bb1a555be1379db07ca91150f2df28
522,523,+,+,+1,+,+,5,104735,Социологический факультет,292e8a9950c7d55172e6f72ced5cf30518143b59
523,524,+,+,+,+3,+1,5,105006,Экономический факультет,02a7b83a4baa844bbc716d785c064a933ec122f7
524,525,+,+,+,+,+,5,105135,Физический факультет,0ae49a1c1bca55dcaddef58cbdee22c1d5a85390
525,526,+,+,+4,+2,+,5,105924,Факультет глобальных процессов,96a84df5e070e8e10089d52886d3592783291a82
526,527,+,+,+,+6,+2,5,106778,Географический факультет,a3a016ff9e0fd54071d30e18671bdb9680ff28c8
527,528,+,+,+,+,+,5,106875,Факультет психологии,94ff116f07d6250d7c81803ec8554772fa935931
528,529,+,+,+1,+,+,5,107201,Экономический факультет,4d811c8300738eba5994074a2fd24ae868903f6f
529,530,+,+,+,+,+,5,107372,Географический факультет,15f11f6218812ffc26610ec3fabf95a0fd369f43
530,531,+,+,+,+2,+,5,107470,Экономический факультет,e145976740dffc1dedd81abf8cc010ca2129adc9
531,532,+,+,+1,+2,+,5,107624,Факультет вычислительной математики и кибернетики,91afe51ec54bfc6d41d15280ff1357e63223bcca
532,533,+,+,+1,+,+,5,107738,Экономический факультет,467e5d64cc0b5ac12a9baa8782711be91719bba5
533,534,+,+,+1,+2,+,5,107747,Юридический факультет,86a9258955906ce2e9a82f45d20577626ad92e87
534,535,+,+1,+1,+,+,5,107795,Экономический факультет,ba0cfe9b8c27524c5d317e267c6415de0422958c
535,536,+,+,+,+2,+,5,107833,Физический факультет,d28cd7dcf68a085f6b270b98b26b22a5ac0cc672
536,537,+1,+,+,+,+,5,107848,Механико-математический факультет,b97de6511b76bba4c000b76f48599154e3060fe6
537,538,+,+,+,+,+,5,107999,Экономический факультет,b1fbb22f27c3758f827c19831cbdeebd335e6f85
538,539,+,+,+,+2,+,5,108041,Экономический факультет,43cc29987cdac651d05bb8a713c491590c2476b2
539,540,+,+1,+,+,+,5,108048,Экономический факультет,3ebb1b09dc5163d8eb3fc538655a9264e1a1ce84
540,541,+,+1,+,+,+,5,108220,Факультет вычислительной математики и кибернетики,50c1767ee19e7cbaf50f2128fc00f4f087ef532a
541,542,+,+,+,+,+,5,108283,Химический факультет,e04fac2f15fa6a48bc5014f681c6e905bd2b13d7
542,543,+2,+,+1,+1,+,5,108291,Социологический факультет,6253c092f2881e79e4de262db120365c8c73d5ad
543,544,+,+,+1,+,+,5,108306,Факультет почвоведения,958f2c9cb3a5a59d73b2f5f1caafb8281f0aaa7b
544,545,+,+2,+3,+7,+1,5,108541,Экономический факультет,5709c8fd4c6fc7ed4b95e35d71330b3dac1c2fe9
545,546,+,+,+,+,+,5,108667,Экономический факультет,b72aa08d82cc88123cdcc2eb3526e3fe16b41534
546,547,+,+,+,+,+,5,108700,Экономический факультет,1d8bf3e465747351fa868c658f472d328e07fb59
547,548,+,+,+,+1,+4,5,109070,Механико-математический факультет,4c372a9703c128bad1bcce702a07764aef55a30a
548,549,+,+1,+,+1,+,5,109097,Экономический факультет,fe23a8681fd7793615b49b431dd9f58ad4f7d5e8
549,550,+,+,+,+,+,5,109126,Факультет биоинженерии и биоинформатики,62c12e886c4219598db01eecdfd7e8b28217f6c5
550,551,+,+,+1,+1,+1,5,109324,Факультет почвоведения,07e2476a1e374e6b3ec9224f74a35c03a91b5366
551,552,+,+,+,+,+,5,109508,Факультет почвоведения,368e93780be2d8e99e0c0287d52dcced01eab39d
552,553,+,+,+,+,+,5,109514,Физический факультет,7022df4ee263a4ec8579502d2126d20d8f9cf4f3
553,554,+,+,+1,+1,+,5,109633,Экономический факультет,bf3419ad35723e870bf6033234a2b59bcbe77539
554,555,+1,+,+1,+1,+,5,109661,Экономический факультет,43597e604db3b8429068a111a192e94565db02a6
555,556,+1,+,+,+,+,5,109676,Факультет биоинженерии и биоинформатики,be78789e0e753c8fbdfe3e14c738d57c884b32c7
556,557,+,+,+1,+1,+2,5,109807,Геологический факультет,2d65f58db91901d69d5e09a93c00f32d11a747d6
557,558,+,+,+,+1,+,5,109992,Химический факультет,6ed1bf8143e7efd4b251fe3b91869ffc45377094
558,559,+,+1,+1,+1,+,5,110096,Физический факультет,9977e15684b302446750f9b5547b0f6b193580c3
559,560,+1,+,+,+1,+,5,110180,Факультет вычислительной математики и кибернетики,5dde838f6e0beee9c10c28e70244f09eab38c359
560,561,+,+,+1,+,+3,5,110299,Химический факультет,236e1dc089fa560e66a1b0cc895549b658c7c40b
561,562,+,+,+1,+1,+1,5,110385,Социологический факультет,909b154e022fd79149d1b0af20c1838cc1177598
562,563,+,+,+,+,+,5,110770,Химический факультет,919def4a2d08a1ced27a01f8d3277afac7c35e06
563,564,+,+,+1,+2,+,5,111985,Химический факультет,c679b7455ee3595ac739356480587997eff363a8
564,565,+,+,+2,+,+,5,112162,Не из МГУ,c764ad1c316e859bcad294c89d32a6c8fd0195cc
565,566,+3,+,+,+1,+,5,113191,Факультет вычислительной математики и кибернетики,7d651e31ef0d823d542be9dd0b8b91faaf2af252
566,567,+,+,+,+,+6,5,113233,Химический факультет,d55abe74f6a60bbfcae72003034c8b3ed3438f84
567,568,+,+,+1,+1,+,5,113300,Химический факультет,8049daf35a2d1738aa656c68f7ea3ac9ae7c5225
568,569,+,+,+,+1,+,5,113330,Экономический факультет,b69f6176652966825b93c9b8b8387087ae0bdbc4
569,570,+,+,+,+,+,5,113473,Экономический факультет,972f89d46eced279953f638f77ae8b3e84338904
570,571,+,+,+1,+,+,5,113699,Факультет космических исследований,0567f38ec66cc830d10f7aa086832518520bbd21
571,572,+,+,+,+,+,5,113753,,7d6d8c046002f4d3a6decaa2d13f9b55c7caad76
572,573,+,+,+,+,+,5,113829,Факультет наук о материалах,ad4010416f5862a18bd427569b85bce4135e537e
573,574,+,+,+,+,+,5,113836,Не из МГУ,d3d2d3b1a0092f0acf73d0ed02f979785cb7832e
574,575,+,+,+,+,+,5,113850,Факультет почвоведения,8d42711c5f79bc6a1ca621628dd235688a67160c
575,576,+,+,+,+,+,5,113854,Экономический факультет,a9a80eb1e3c198597061f17e2ac02d6f1bef80b5
576,577,+,+,+1,+1,+,5,113862,Химический факультет,80ba9c9d148ab680849e9d9c4180b046eab2dcae
577,578,+,+,+1,+2,+5,5,113927,Экономический факультет,9f615e7fad99cd03c358bb5aec2210a162de7400
578,579,+,+1,+,+2,+,5,113998,Факультет журналистики,16b16d3511bfc650d0f09356815ac4f0dec0809a
579,580,+,+,+,+,+,5,114016,Факультет вычислительной математики и кибернетики,f554efd9fff91bf5a99f7a35758b9dccd64157d9
580,581,+,+,+1,+1,+,5,114029,Биологический факультет,fe159cd3d8e8824627fa3711f9ecf8a117a02b63
581,582,+,+,+,+4,+,5,114047,Факультет иностранных языков и регионоведения,b04df2963a63c7d44ac5b24cf44eaf7249d0665d
582,583,+,+,+,+,+,5,114076,Высшая школа культурной политики и управления в гуманитарной сфере,edbaff8a6b66a7db713171ad5ad1bdf11da193a2
583,584,+,+,+1,+1,+1,5,114260,,e035973602041deef042cc18e7f9fd0cf4ae165c
584,585,+,+,+,+,+,5,114293,,ab7788dd2a903dfabec01949e3011d873396e591
585,586,+,+,+,+,+,5,114370,,41c07892ad0457d5587d4798d2d82bf659c31f8e
586,587,+,+,+,+,+,5,114412,Факультет космических исследований,f32ade914680abe6dd212e55f0008e099e78353f
587,588,+,+,+,+,+,5,114421,Факультет наук о материалах,7ba70c1a642642d3e9909788f0a35afa082f0bc5
588,589,+1,+,+1,+,+,5,114425,Механико-математический факультет,8ccaee4da37680de707c16b0d354fa4fb685388c
589,590,+,+,+,+,+,5,114453,Факультет фундаментальной физико-химической инженерии,75000ed30fad8eb6cb26fc9f9b92644c210d9b5b
590,591,+,+,+,+,+,5,114485,Факультет вычислительной математики и кибернетики,cb0979655c99992d1a2c1bc42c76c0610687c6c1
591,592,+,+,+,+,+1,5,114535,Биологический факультет,e10c368e239dcd1e61c2d7bfd618c97aca241203
592,593,+,+,+1,+1,+,5,114567,Факультет вычислительной математики и кибернетики,3595be6066e17ea4268eefc59bf688dd8a1336e2
593,594,+,+,+1,+1,+,5,114604,Факультет вычислительной математики и кибернетики,f8d45c56a6edd6caa7c16329a0cd5902ef664639
594,595,+,+,+,+1,+,5,114605,Факультет вычислительной математики и кибернетики,9139eb08264e5fede82c6eea4a86931d069a50d2
595,596,+,+,+,+,+,5,114660,Биологический факультет,8ae02dd139ad7563cdb35a950c35576d3bd3301c
596,597,+,+1,+1,+3,+,5,114690,Факультет почвоведения,2ea1355bcd4a3d8950d007ec85c3af9dd47e256d
597,598,+,+,+,+1,+,5,114752,Химический факультет,a4bfbc0f991a0917182cff2636a71a0ef012b299
598,599,+3,+2,+,+,+,5,114755,,5df088d3496c760a26cf86143340b2c62605b7f4
599,600,+,+,+,+,+,5,114784,Факультет фундаментальной физико-химической инженерии,3c279ae2b5cf36e944a6bf24767ddc472684e80d
600,601,+,+,+1,+1,+,5,114928,Химический факультет,64497caa21fe53543d6b84a2a695cb05c63bea24
601,602,+,+,+,+,+,5,114948,Факультет вычислительной математики и кибернетики,1fcbeb161942ced7b1af1d01756c951f4d7f4374
602,603,+,+,+,+,+,5,115012,Факультет вычислительной математики и кибернетики,aec44f585f606872c0eb9296aea0cefbcfcb522d
603,604,+2,+1,+1,+5,+8,5,115056,Не из МГУ,d2f594de56b3fd94bd9b56b99ecc8631e2064670
604,605,+,+1,+,+,+1,5,115096,Факультет вычислительной математики и кибернетики,b98c7e84efec3f5073ea07df8d07c19479e4aa2a
605,606,+,+,+,+,+,5,115129,Факультет вычислительной математики и кибернетики,93aeb84567f8e66e9ef2fb6dd8a17d2e868f9d63
606,607,+,+,+1,+1,+,5,115216,Механико-математический факультет,6628f9ac6a4ca5a471e3990c4a15169a86c94c84
607,608,+,+,+,+,+,5,115245,Химический факультет,94bf531b20f5f7906ddf4635ec987f3dea9758de
608,609,+,+,+1,+,+,5,115346,,76813855e7efc60854bb8c27849c1d2573f8c49a
609,610,+,+2,+1,+1,+3,5,115370,Факультет вычислительной математики и кибернетики,81e4e84ca8bbd2985dcb1adfd7ba764cd7f7e430
610,611,+,+,+,+4,+,5,115384,Механико-математический факультет,2502d54a3a34006c3a48544c747390c12c74a261
611,612,+1,+1,+,+,+1,5,115413,Химический факультет,5af0e9a4e3010a74c6d5ef62efea80531a9591df
612,613,+,+,+1,+,+,5,115706,Не из МГУ,f32be8b2276d487b92d920b7e5b8ca63a0f304e5
613,614,+2,+,+,+1,+,5,115782,Физический факультет,3941fb17f0a4dbb0fd7247cde9fd3bdd64903167
614,615,+,+,+1,+,+1,5,115797,Не из МГУ,fad3c7d06c7102335f416b2960c32e7b2a7c06c9
615,616,+,+,+,+,+,5,115804,Не из МГУ,7681fc2a691d2d17046e73d5e260a625beef5b4c
616,617,+,+,+,+,+,5,115819,Философский факультет,7cd2471d601e564dfd74c8445afa214759a54029
617,618,+1,+,+,+2,+,5,115843,Факультет политологии,1a338e0a956ee1d93d1138a7fbbbe9156bcce718
618,619,+,+,+,+,+,5,115883,Биологический факультет,f943e23b005156698514515401c913611ce35db8
619,620,+,+,+,+,+,5,115913,Факультет вычислительной математики и кибернетики,badedd5f0a6e03801440fcf4ad3b31096d0fe4f4
620,621,+,+,+,+,+2,5,115953,Биологический факультет,9e776625c058bfdb04d1c8091a645cb416963474
621,622,+,+,+1,+1,+,5,116034,Экономический факультет,cb388f09bb20ab6511752eb3fc16be071820f04a
622,623,+,+,+,+,+,5,116036,Факультет вычислительной математики и кибернетики,3a217a6133d8ef906b69ba1fcf57b86a48c31c8b
623,624,+,+,+2,+1,+,5,116099,Факультет почвоведения,25ebef2deacc373f093f2ba9eaa790dbbc5d3509
624,625,+,+,+1,+1,+2,5,116124,Факультет психологии,a17b63f24fb83d16e929c2a28367d99a72b401de
625,626,+,+,+,+,+,5,116132,Факультет вычислительной математики и кибернетики,92d167bce0e3ad3735a862191ff8d007905f5297
626,627,+2,+,+1,+1,+1,5,116143,Социологический факультет,bbd7458f9c24054137d7a83e9168ed89bc0124bd
627,628,+,+,+,+,+,5,116183,Географический факультет,9d51beff68445f7605d8078ecf9671924b08244a
628,629,+,+,+1,+,+,5,116325,Физический факультет,7b95379684a839a9b7871be000ab36b78841be54
629,630,+,+,+1,+1,+,5,116332,Экономический факультет,c2b5dfc90d7bff0ad8d3934cc88dffe7afab4635
630,631,+3,+,+1,+1,+,5,116350,Факультет вычислительной математики и кибернетики,16957384856e2c93919f501e0534e8ed5bd94824
631,632,+,+,+1,+,+,5,116363,,86285f1f77eccc817f0a0a9f8d2de3af2cb54791
632,633,+,+,+,+,+,5,116374,Механико-математический факультет,c4bf48d0dcc72baf3dbdbf2af674748515c2fa93
633,634,+,+,+,+,+,5,116444,Физический факультет,e024c11f3a2b7eaabb46b87e0918325a34d2ea96
634,635,+,+,+,+,+1,5,116496,Московская школа экономики,cad816b2686dbbc5443c3c476e0eb95b9fbaef5e
635,636,+,+,+,+2,+,5,116500,Биологический факультет,37aec439ed1c4eae8882bb535c5833b63de27374
636,637,+,+,+,+,+,5,116506,Физический факультет,14285c6823b1eeab094b9b1394941b153fc13494
637,638,+1,+2,+1,+3,+,5,116623,Экономический факультет,0e56269c2f757b915cc03e61f15465a45d60cac8
638,639,+,+,+,+,+,5,116624,Факультет наук о материалах,9a008ae0b6f9f6a0598c257ec9d962c032cc148b
639,640,+,+,+,+,+,5,116763,Химический факультет,968d608d6ed9db8faa3369d69d84cfda022e62db
640,641,+,+,+,+1,+,5,116806,Механико-математический факультет,50744e786482eb4aa9d74318a50db0252f80494f
641,642,+,+,+,+1,+,5,116851,Биологический факультет,4f84628e197680070e5a8eecb3de6030ab7486e6
642,643,+,+,+,+,+,5,116891,Географический факультет,dde564b5938868b646dd9b277b94c6e77ea6c0d8
643,644,+1,+,+,+,+,5,116983,Экономический факультет,5adda1d926fca7bde3a4edb66f5ac90cc4d6e5a1
644,645,+,+,+,+,+3,5,117033,Экономический факультет,2f05685b2496bb0f4609bef30b7b0167553a1dd1
645,646,+,+,+1,+1,,4,130,Не из МГУ,293c6d72d6afa2a1c755fadacd2cc217c9a47e17
646,647,+,+,+,+,,4,278,Не из МГУ,bb85a8d65971d89f6d328c9fa2163f526b76ee0c
647,648,-5,+,+1,+,+,4,6995,Факультет биоинженерии и биоинформатики,122130099f29df19c6f31aef7236caef4d04c566
648,649,+,-3,+,+,+,4,11952,Биологический факультет,075b78876c2a2c2f4c5b96747de725923126c2c6
649,650,-5,+,+1,+1,+2,4,12111,Геологический факультет,04b9df5021191a16b15448512aef48884390fd27
650,651,+,+,+1,,+,4,16134,Исторический факультет,ff71ab1f1d59c6215c61337b166370eca8a1bad5
651,652,-5,+1,+,+1,+1,4,17925,Механико-математический факультет,d20db7db9d09b43e806b760bd6aed8ad8e5b13f2
652,653,+1,+1,+,,+,4,18474,Факультет вычислительной математики и кибернетики,e9c33bb4a18f22ced3ccc285f050ae43460424b1
653,654,+,+,+,+2,-4,4,18702,Географический факультет,51e0b28b70a74b9b92565c59daf1e823f7deb5be
654,655,+,+1,+,+1,-4,4,36921,Экономический факультет,f49a8f2692e450359bffe0b25cae644eb62362c1
655,656,+,-3,+,+,+3,4,38535,Факультет психологии,9545455d24648ab860a34086623e5f9f4b12cedb
656,657,+,-3,+,+,+1,4,38671,Факультет вычислительной математики и кибернетики,26ace62a4746ff0011b87a6a968ad79f8a848073
657,658,-5,+,+,+,+1,4,45540,Физический факультет,1222cf990605e5b4c709c2abec353847a487bbcb
658,659,+,+,+,+,,4,58255,Не из МГУ,f6ff1feb662834cda7bf31f56e7ceb8fa31db952
659,660,+,+,+,-1,+,4,64430,Механико-математический факультет,f109be3e90209185e9f9e47f24bb93ad98ba3bab
660,661,+2,-3,+1,+2,+,4,73076,Географический факультет,b33c5ec7fde341fdd04f15ca085745490214dffa
661,662,+,+,+,+,-1,4,83084,Экономический факультет,97f340177fc28a2a70c51558d058d0983ec51936
662,663,+,-3,+,+1,+,4,90759,,71f2fc2fd90b5a60af292a920cc46721cae1dd80
663,664,-5,+,+,+,+1,4,91793,Исторический факультет,8e8e88d64762c3665798f783d4858464ff77d106
664,665,+,+,+1,+,-3,4,92136,Экономический факультет,4db9a472008df33cbd864180470ed1f2f1dd3333
665,666,+,+,+,+1,-2,4,93137,Факультет мировой политики,dcfeae7aa2056018f3619a9d8b23770a6737a356
666,667,+1,-3,+,+2,+1,4,93420,Экономический факультет,e316955eb0895d353022ceb98fbdaab0116aa195
